base_name,original_filename,img_h,img_w,ssim_whole,ssim_edit_region,edit_region_pct,ssim_level,ssim_tier
68cbbed2-a50f-4da9-bf4a-310678163224_0,68cbbed2-a50f-4da9-bf4a-310678163224_0.jpg,512,384,0.98961,0.90593,10.31,🔶 MODERATE,moderate
68d434d7-b810-4c7d-bcc5-1cd3dce85aa3_0,68d434d7-b810-4c7d-bcc5-1cd3dce85aa3_0.jpg,511,409,0.98653,0.85009,8.53,🔴 SIGNIFICANT,significant
68d9f056-c2b4-43fa-8b97-c4dbb5d4af36_0,68d9f056-c2b4-43fa-8b97-c4dbb5d4af36.jpg_0.jpg,512,326,0.99399,0.9355,7.36,⚠️  MILD,mild
68eeb34d-0372-4ca5-88f8-d96832e208c8_0,68eeb34d-0372-4ca5-88f8-d96832e208c8_0.jpg,511,395,0.99652,0.95758,7.57,⚠️  MILD,mild
68effe39-9269-4c36-ae5e-616dbcff2048_0,68effe39-9269-4c36-ae5e-616dbcff2048_0.jpg,512,407,0.9971,0.97222,9.59,⚠️  MILD,mild
68f6138b-05a6-4e6d-95b1-bbb283502ce6_0,68f6138b-05a6-4e6d-95b1-bbb283502ce6_0.jpg,512,424,0.99579,0.89451,3.64,🔶 MODERATE,moderate
68f951ad-17b2-425a-bfcb-1e254ae2e0b4_0,68f951ad-17b2-425a-bfcb-1e254ae2e0b4.jpg_0.jpg,512,451,0.99329,0.91113,6.22,🔶 MODERATE,moderate
68fc23f1-76e2-447d-a24b-c4a92f6604e1_1,68fc23f1-76e2-447d-a24b-c4a92f6604e1_1.jpg,512,432,0.99503,0.94649,8.75,⚠️  MILD,mild
693b7d41-3b24-4b56-8120-bed72dcee47d_4,693b7d41-3b24-4b56-8120-bed72dcee47d_4.jpg,512,392,0.99296,0.93777,10.69,⚠️  MILD,mild
693e576f-3188-41fb-9cfa-3b717b4f6d92_0,693e576f-3188-41fb-9cfa-3b717b4f6d92.jpg_0.jpg,512,336,0.99257,0.93539,10.02,⚠️  MILD,mild
6947d590-d087-431b-b02c-b4d70cdbf0a0_0,6947d590-d087-431b-b02c-b4d70cdbf0a0_0.jpg,512,352,0.99314,0.92183,8.27,⚠️  MILD,mild
696e595f-779e-447c-987c-4bdd497f0fd7_0,696e595f-779e-447c-987c-4bdd497f0fd7_0.jpg,512,367,0.9955,0.95131,8.49,⚠️  MILD,mild
6985d1ba-c724-455e-bf1a-e39cc9f422ac_0,6985d1ba-c724-455e-bf1a-e39cc9f422ac.jpg_0.jpg,512,352,0.995,0.93945,7.8,⚠️  MILD,mild
698cdbe8-0a70-4a46-900e-965435346c89_1,698cdbe8-0a70-4a46-900e-965435346c89.jpg_1.jpg,512,390,0.99421,0.9374,7.65,⚠️  MILD,mild
69974032-93a5-407e-8be8-cfacb4573615_0,69974032-93a5-407e-8be8-cfacb4573615.jpg_0.jpg,512,308,0.99814,0.96819,5.06,⚠️  MILD,mild
699ac536-dfff-48a2-88b9-6944dddbe670_0,699ac536-dfff-48a2-88b9-6944dddbe670.jpg_0.jpg,512,327,0.98463,0.84003,9.12,🔴 SIGNIFICANT,significant
699c0bce-80c7-4079-aeb3-5d70ea68255d_0,699c0bce-80c7-4079-aeb3-5d70ea68255d.jpg_0.jpg,512,440,0.99343,0.92223,7.23,⚠️  MILD,mild
69a312d0-cf3d-49f9-a4e1-84a600b279cf_0,69a312d0-cf3d-49f9-a4e1-84a600b279cf_0.jpg,512,394,0.99401,0.93548,8.77,⚠️  MILD,mild
69aca10e-c677-4950-9738-50d95aa0334d_5,69aca10e-c677-4950-9738-50d95aa0334d_5.jpg,512,416,0.99229,0.93197,10.77,⚠️  MILD,mild
69acc84e-19d2-4a5d-9f15-81eb857e356b_0,69acc84e-19d2-4a5d-9f15-81eb857e356b_0.jpg,512,381,0.99206,0.92351,9.79,⚠️  MILD,mild
69b57c8e-ec8e-4956-81cf-222588762359_0,69b57c8e-ec8e-4956-81cf-222588762359.jpg_0.jpg,512,476,0.99052,0.9068,8.88,🔶 MODERATE,moderate
69bdc85c-54b1-42d0-a8a7-a03101abbedd_0,69bdc85c-54b1-42d0-a8a7-a03101abbedd.jpg_0.jpg,512,393,0.99023,0.89594,8.71,🔶 MODERATE,moderate
69c06387-0c00-4a78-b46d-a4ab4357e509_1,69c06387-0c00-4a78-b46d-a4ab4357e509_1.jpg,512,414,0.99702,0.94922,5.32,⚠️  MILD,mild
69c7c946-e09f-4b01-9a42-380d6f3b4860_0,69c7c946-e09f-4b01-9a42-380d6f3b4860_0.jpg,512,297,0.99023,0.86467,6.83,🔴 SIGNIFICANT,significant
69cec4e9-37d8-4ead-960f-49dbb858c2f4_0,69cec4e9-37d8-4ead-960f-49dbb858c2f4.jpg_0.jpg,512,369,0.99177,0.91343,8.26,🔶 MODERATE,moderate
69d5b3be-5705-4379-9cef-490f537951dd_0,69d5b3be-5705-4379-9cef-490f537951dd.jpg_0.jpg,512,371,0.99481,0.94796,8.48,⚠️  MILD,mild
69d60b22-8e5f-45ad-9aa3-8113b0dcfb64_0,69d60b22-8e5f-45ad-9aa3-8113b0dcfb64.jpg_0.jpg,512,384,0.98207,0.86387,12.62,🔴 SIGNIFICANT,significant
69db1413-c862-45da-bede-afed18e00abb_0,69db1413-c862-45da-bede-afed18e00abb_0.jpg,512,432,0.99483,0.93572,7.37,⚠️  MILD,mild
69dd2848-2164-4f7a-bfd6-7a3a40b5d5ac_0,69dd2848-2164-4f7a-bfd6-7a3a40b5d5ac_0.jpg,512,352,0.99631,0.95536,7.43,⚠️  MILD,mild
69f2d427-8e3d-44c1-9906-7f4279f058f4_0,69f2d427-8e3d-44c1-9906-7f4279f058f4_0.jpg,512,401,0.99563,0.95307,8.55,⚠️  MILD,mild
69f6924f-db81-4865-843d-326cf2af09a8_0,69f6924f-db81-4865-843d-326cf2af09a8.jpg_0.jpg,512,418,0.99016,0.89246,7.98,🔶 MODERATE,moderate
6a0fab55-4faf-4515-972d-6453a75ebf8b_0,6a0fab55-4faf-4515-972d-6453a75ebf8b.jpg_0.jpg,512,289,0.9996,1.0,0.0,✅ NEGLIGIBLE,negligible
6a15ea74-39b8-49fa-b673-73473056162a_0,6a15ea74-39b8-49fa-b673-73473056162a_0.jpg,511,342,0.99709,0.96337,7.27,⚠️  MILD,mild
6a1a699e-d9c8-4f9c-a5c6-a9180a7ace8e_7,6a1a699e-d9c8-4f9c-a5c6-a9180a7ace8e.jpg_7.jpg,416,325,0.98737,0.89429,10.42,🔶 MODERATE,moderate
